date,total_cases
2020-01-31,0.0
2020-04-30,21402.0
2020-07-31,274219.0
2020-10-31,346880.0
2021-01-31,367813.0
2021-04-30,416307.0
2021-07-31,524584.0
2021-10-31,548571.0
2022-01-31,683053.0
2022-04-30,753921.0
2022-07-31,809449.0
2022-10-31,822132.0
2023-01-31,827916.0
2023-04-30,840525.0
2023-07-31,841469.0
2023-10-31,841469.0
2024-01-31,841469.0
